Sun Oct 14 14:09:38 2018    profiling.txt

         11793505 function calls (11619950 primitive calls) in 79.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8110    0.040    0.000    0.383    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/compiler.py:285(configure)
    77306    0.222    0.000    0.374    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/devicearray.py:161(device_ctypes_pointer)
689943/689925    0.326    0.000    0.359    0.000 {built-in method builtins.getattr}
       11    0.000    0.000    0.343    0.031 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/targets/codegen.py:204(finalize)
        1    0.000    0.000    0.339    0.339 /home/jaurim/anaconda3/lib/python3.7/site-packages/sklearn/svm/__init__.py:3(<module>)
        1    0.000    0.000    0.338    0.338 /home/jaurim/anaconda3/lib/python3.7/site-packages/sklearn/svm/classes.py:1(<module>)
   114027    0.111    0.000    0.334    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/servicelib/threadlocal.py:37(__bool__)
   497926    0.201    0.000    0.326    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1715(is_device_memory)
       11    0.000    0.000    0.323    0.029 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/targets/codegen.py:177(add_ir_module)
    47409    0.135    0.000    0.323    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1667(host_pointer)
    59811    0.291    0.000    0.317    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/utils.py:548(__init__)
      283    0.001    0.000    0.316    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/targets/base.py:1078(__call__)
        1    0.000    0.000    0.311    0.311 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/__init__.py:3(<module>)
    29897    0.071    0.000    0.310    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1163(own)
       10    0.000    0.000    0.306    0.031 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/codegen.py:18(_optimize_final_module)
       11    0.000    0.000    0.296    0.027 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/binding/passmanagers.py:94(run)
    59796    0.099    0.000    0.293    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.286    0.286 /home/jaurim/anaconda3/lib/python3.7/site-packages/sklearn/svm/base.py:1(<module>)
